id,name,name_short,start_date,end_date,private,title_ids,title_names
1,United Masters League 2018-2019,UML 1819,,,False,['1'],['Counter Strike: Global Offensive']
2,Dota PIT 2019 Minor,Dota PIT 2019 Minor,,,False,['2'],['Defense of the Ancients 2']
3,HotShot Series Season 2,HotShot Series S2,,,False,['1'],['Counter Strike: Global Offensive']
4,Blast Pro Series Miami 2019,Blast Pro Miami 2019,,,False,['1'],['Counter Strike: Global Offensive']
5,Blast Pro Series Madrid 2019,BP Madrid 2019,,,False,['1'],['Counter Strike: Global Offensive']
6,ECS Season 7,ECS Season 7,,,False,['1'],['Counter Strike: Global Offensive']
7,HotShot Series Season 3,HotShot Season 3,,,False,['1'],['Counter Strike: Global Offensive']
8,StarLadder ImbaTV Dota 2 Minor Season 2,StarLadder Minor S2,,,False,['2'],['Defense of the Ancients 2']
9,StarLadder ImbaTV Dota 2 Minor Season 2 Finals,StarLadder S2 Finals,,,False,['2'],['Defense of the Ancients 2']
10,Blast Pro Series Los Angeles 2019,BP Los Angeles 2019,,,False,['1'],['Counter Strike: Global Offensive']
11,Good Game League 2019,GG League 2019,,,False,['1'],['Counter Strike: Global Offensive']
12,StarLadder Minor CS:GO,SLTV CS:GO,,,False,['1'],['Counter Strike: Global Offensive']
13,Unknown,UNKNOWN,,,False,['2'],['Defense of the Ancients 2']
14,Loot.bet/dota Season 1 2019,Loot.bet/dota,,,False,['2'],['Defense of the Ancients 2']
15,CS.MONEY Asian Emperor,CS.MONEY,,,False,['1'],['Counter Strike: Global Offensive']
16,LOOT.BET/CS SEASON 3,LOOT.BET/CS S3,,,False,['1'],['Counter Strike: Global Offensive']
17,CIS Esports Pro Championship,CIS Esports Pro,,,False,['1'],['Counter Strike: Global Offensive']
19,Blast Pro Moscow Closed Qualifier,BP Moscow CQ,,,False,['1'],['Counter Strike: Global Offensive']
22,ECS Season 8,ECS S8,,,False,['1'],['Counter Strike: Global Offensive']
23,Star Laddar Berlin Major 2019,SLTV Major 2019,,,False,['1'],['Counter Strike: Global Offensive']
24,LOOT.BET/CS Season 4,LOOT.BET/CS S4,,,False,['1'],['Counter Strike: Global Offensive']
25,European Champions Cup,ECC,,,False,['1'],['Counter Strike: Global Offensive']
26,GRID-TEST,GRID-TEST,,,False,"['28', '25', '22', '6', '16', '8', '2', '5', '4', '1', '3', '15', '29', '32', '31']","['Counter Strike 2', ""Tom Clancy's Rainbow Six Siege"", 'GRID-TEST', 'Valorant', 'Counter Strike: Global Offensive - 2v2', 'Drone Champions League', 'Defense of the Ancients 2', 'Kings of Glory', 'PlayerUnknowns Battlegrounds', 'Counter Strike: Global Offensive', 'League of Legends', 'Crossfire', 'Crossfire (Test)', 'Standoff 2', 'Standoff 2 (Test)']"
27,NEST PRO EU&CIS Qualifier,NESTPRO,,,False,['1'],['Counter Strike: Global Offensive']
33,V4 Future Sports Festival Budapest,V4 Future Sports,,,False,['1'],['Counter Strike: Global Offensive']
35,WePlay DOTA,WePlay,,,False,['2'],['Defense of the Ancients 2']
36,Midas Mode,Midas Mode,,,False,['2'],['Defense of the Ancients 2']
37,LBET Invitational,LBET,,,False,['1'],['Counter Strike: Global Offensive']
38,United Masters League Season 2,UML S2,,,False,['1'],['Counter Strike: Global Offensive']
41,MDL Chengdu Major,MDL,,,False,['2'],['Defense of the Ancients 2']
42,DOTA Summit 11,DOTA Summit 11 Qualifier,,,False,['2'],['Defense of the Ancients 2']
45,Blast Pro Copenhagen,Blast Pro Copenhagen,,,False,['1'],['Counter Strike: Global Offensive']
46,Dota Summit 11,Dota Summit 11,,,False,['2'],['Defense of the Ancients 2']
47, StarSeries S8 LAN Finals, StarSeries S8 LAN,,,False,['1'],['Counter Strike: Global Offensive']
48,Hainan Master Cup,Hainan Master Cup,,,False,['2'],['Defense of the Ancients 2']
49,China Dota2 Pro League,China Pro League,,,False,['2'],['Defense of the Ancients 2']
50,China Dota2 Development League,China Dota2 Developm,,,False,['2'],['Defense of the Ancients 2']
51,MDL Chengdu Major,MDL Chengdu Major,,,False,['2'],['Defense of the Ancients 2']
52,LOOT.BET/CS Season 5,LOOT.BET/CS S5,,,False,['1'],['Counter Strike: Global Offensive']
53,WESG 2019-2020 CS:GO,WESG 2020 CS:GO,,,False,['1'],['Counter Strike: Global Offensive']
55,Parimatch League Season 1 Dota,Parimatch League S1,,,False,['2'],['Defense of the Ancients 2']
56,OMEN Challenger Series 2019,OMEN Challenger Jakarta,,,False,['1'],['Counter Strike: Global Offensive']
57,eXTREMESLAND CS:GO Asia 2019,eXTREMESLAND CS:GO ,,,False,['1'],['Counter Strike: Global Offensive']
58,Qi Banja Luka 2019,Qi Banja Luka ,,,False,['1'],['Counter Strike: Global Offensive']
61,JJB Champions Cup - China Qualifier ,JJB Champions Cup,,,False,['1'],['Counter Strike: Global Offensive']
62,WESG 2019-2020 ,WESG 2019-2020 ,,,False,"['1', '2']","['Counter Strike: Global Offensive', 'Defense of the Ancients 2']"
63,cs_summit 5 ,cs_summit 5 ,,,False,['1'],['Counter Strike: Global Offensive']
64,WESG 2019 South Asia,WESG 2019 South Asia,,,False,['1'],['Counter Strike: Global Offensive']
65,WESG 2019 West Asia,WESG 2019 West Asia,,,False,['1'],['Counter Strike: Global Offensive']
66,ESEA Advanced Season 32 Europe,ESEA Advanced Season,,,False,['1'],['Counter Strike: Global Offensive']
67,LOOT.BET Season 5,LOOT.BET Season 5,,,False,['1'],['Counter Strike: Global Offensive']
68,WESG 2019 East Europe Closed Qualifier,WESG 2019 East Europ,,,False,['1'],['Counter Strike: Global Offensive']
69,ESL Brazil Premier League Season 11,ESL Brazil Premier L,,,False,['1'],['Counter Strike: Global Offensive']
70,ESEA Advanced Season 32 North America,ESEA Advanced Season,,,False,['1'],['Counter Strike: Global Offensive']
71,ESL Pro League Season 10 Finals,ESL Pro League Seaso,,,False,['1'],['Counter Strike: Global Offensive']
72,ESEA MDL Season 32 Europe Climber Cup,ESEA MDL Season 32 E,,,False,['1'],['Counter Strike: Global Offensive']
73,IEM Katowice 2020 Oceania Open Qualifier #1,IEM Katowice 2020 Oc,,,False,['1'],['Counter Strike: Global Offensive']
74,ESEA Open Season 32 Brazil,ESEA Open Season 32 ,,,False,['1'],['Counter Strike: Global Offensive']
75,ESEA Open Season 32 South Africa,ESEA Open Season 32 ,,,False,['1'],['Counter Strike: Global Offensive']
76,POWER Ligaen Season 12,POWER Ligaen Season ,,,False,['1'],['Counter Strike: Global Offensive']
77,SECTOR: MOSTBET,SECTOR: MOSTBET,,,False,['1'],['Counter Strike: Global Offensive']
78,Hainan Supreme Cup ,Hainan Supreme Cup ,,,False,['2'],['Defense of the Ancients 2']
79,WESG 2019 North Europe Closed Qualifier,WESG 2019 North Euro,,,False,['1'],['Counter Strike: Global Offensive']
80,Svenska Elitserien Fall 2019,Svenska Elitserien F,,,False,['1'],['Counter Strike: Global Offensive']
81,Conquerors Insignia 2019,Conquerors Insignia ,,,False,['1'],['Counter Strike: Global Offensive']
82,IEM Katowice 2020 Oceania Open Qualifier #2,IEM Katowice 2020 Oc,,,False,['1'],['Counter Strike: Global Offensive']
83,WESG 2019 APAC Oceania Qualifier,WESG 2019 APAC Ocean,,,False,['1'],['Counter Strike: Global Offensive']
84,DreamHack Delhi Invitational 2019,DreamHack Delhi Invi,,,False,['1'],['Counter Strike: Global Offensive']
85,Polish Esport League Autumn 2019 Finals,Polish Esport League,,,False,['1'],['Counter Strike: Global Offensive']
86,МЕTA Alfa,МЕTA Alfa,,,False,['1'],['Counter Strike: Global Offensive']
87,WESG 2019 Adria Closed Qualifier,WESG 2019 Adria Clos,,,False,['1'],['Counter Strike: Global Offensive']
88,ESEA MDL Season 32 Australia Relegation,ESEA MDL Season 32 A,,,False,['1'],['Counter Strike: Global Offensive']
89,WESG 2019 North America Finals,WESG 2019 North Amer,,,False,['1'],['Counter Strike: Global Offensive']
90,WESG 2019 North America Finals Female,WESG 2019 North Amer,,,False,['1'],['Counter Strike: Global Offensive']
91,IEM Katowice 2020 Asia Open Qualifier #1,IEM Katowice 2020 As,,,False,['1'],['Counter Strike: Global Offensive']
92,BSL 2019 Facid Edition,BSL 2019 Facid Editi,,,False,['1'],['Counter Strike: Global Offensive']
93,WESG 2019 Central Europe & Iberia Closed Qualifier,WESG 2019 Central Eu,,,False,['1'],['Counter Strike: Global Offensive']
94,META Alfa,META Alfa,,,False,['1'],['Counter Strike: Global Offensive']
95,Master Cup Portugal 2019,Master Cup Portugal ,,,False,['1'],['Counter Strike: Global Offensive']
96,WESG 2019 West Europe Closed Qualifier,WESG 2019 West Europ,,,False,['1'],['Counter Strike: Global Offensive']
97,ESL Nationals CZSK Season 2,ESL Nationals CZSK S,,,False,['1'],['Counter Strike: Global Offensive']
98,ESEA MDL Season 32 North America All-Star Game,ESEA MDL Season 32 N,,,False,['1'],['Counter Strike: Global Offensive']
99,D!nk Cup season 1,D!nk Cup season 1,,,False,['1'],['Counter Strike: Global Offensive']
100,JLF Season 2,JLF Season 2,,,False,['1'],['Counter Strike: Global Offensive']
101,Get In Pro League Season 1,Get In Pro League Se,,,False,['1'],['Counter Strike: Global Offensive']
102,ESEA MDL Season 32 Europe Relegation,ESEA MDL Season 32 E,,,False,['1'],['Counter Strike: Global Offensive']
103,AOC & Western Digital Winter Clash 2019,AOC & Western Digita,,,False,['1'],['Counter Strike: Global Offensive']
104,BLAST Pro Series Global Final 2019,BLAST Pro Series Glo,,,False,['1'],['Counter Strike: Global Offensive']
105,IEM Katowice 2020 Asia Open Qualifier #2,IEM Katowice 2020 As,,,False,['1'],['Counter Strike: Global Offensive']
106,Gamers Club Masters IV,Gamers Club Masters ,,,False,['1'],['Counter Strike: Global Offensive']
283,ESEA MDL Season 32 North America Relegation,ESEA MDL Season 32 N,,,False,['1'],['Counter Strike: Global Offensive']
314,Aorus League 2019 #4 Southern Cone,Aorus League 2019 #4,,,False,['1'],['Counter Strike: Global Offensive']
437,CBCS Season 2,CBCS Season 2,,,False,['1'],['Counter Strike: Global Offensive']
825,NEST Pro 2019,NEST Pro 2019,,,False,['1'],['Counter Strike: Global Offensive']
976,Aorus League 2019 #4 Brazil,Aorus League 2019 #4,,,False,['1'],['Counter Strike: Global Offensive']
1597,DreamHack Open Sevilla 2019,DreamHack Open Sevil,,,False,['1'],['Counter Strike: Global Offensive']
2429,ESEA MDL Season 32 Europe Finals,ESEA MDL Season 32 E,,,False,['1'],['Counter Strike: Global Offensive']
2838,WESG 2019 Greater China Regional Finals,WESG 2019 Greater Ch,,,False,['1'],['Counter Strike: Global Offensive']
3215,ESEA MDL Season 32 North America Finals,ESEA MDL Season 32 N,,,False,['1'],['Counter Strike: Global Offensive']
3249,IEM Katowice 2020 Europe Open Qualifier 1,IEM Katowice 2020 Eu,,,False,['1'],['Counter Strike: Global Offensive']
3797,IEM Katowice 2020 North America Open Qualifier 1,IEM Katowice 2020 No,,,False,['1'],['Counter Strike: Global Offensive']
14251,NEST Pro 2019 Female,NEST Pro 2019 Female,,,False,['1'],['Counter Strike: Global Offensive']
19096,IEM Katowice 2020 North America Open Qualifier 2,IEM Katowice 2020 No,,,False,['1'],['Counter Strike: Global Offensive']
23225,ESL Meisterschaft Winter 2019 Finals,ESL Meisterschaft Wi,,,False,['1'],['Counter Strike: Global Offensive']
23685,ESEA MDL Season 32 Global Challenge,ESEA MDL Season 32 G,,,False,['1'],['Counter Strike: Global Offensive']
25271,NCS Grand Finals 2019 @ Fragadelphia 14,NCS Grand Finals 201,,,False,['1'],['Counter Strike: Global Offensive']
25412,EPICENTER 2019,EPICENTER 2019,,,False,['1'],['Counter Strike: Global Offensive']
25613,ESL Nationals CZSK Season 2 Finals,ESL Nationals CZSK S,,,False,['1'],['Counter Strike: Global Offensive']
26074,Dragon Spirit Cup 2019,Dragon Spirit Cup 20,,,False,['1'],['Counter Strike: Global Offensive']
26804,Grosvenor CS:GO Championship Season 3,Grosvenor CS:GO Cham,,,False,['1'],['Counter Strike: Global Offensive']
26944,Swiss Esports League Fall Season 2019 Finals,Swiss Esports League,,,False,['1'],['Counter Strike: Global Offensive']
27754,Champions Cup Finals,Champions Cup Finals,,,False,['1'],['Counter Strike: Global Offensive']
27755,Brasileirão Season 1,Brasileirão Season ,,,False,['1'],['Counter Strike: Global Offensive']
27756,RES Season 1,RES Season 1,,,False,['1'],['Counter Strike: Global Offensive']
27757,99Damage League Season 13,99Damage League Seas,,,False,"['1', '2']","['Counter Strike: Global Offensive', 'Defense of the Ancients 2']"
27758,Aorus League 2019 #4 Finals,Aorus League 2019 #4,,,False,['1'],['Counter Strike: Global Offensive']
27759,RES Season 1 Finals,RES Season 1 Finals,,,False,['1'],['Counter Strike: Global Offensive']
27760,Asian DOTA2 Gold Occupation Competition S9,Asian DOTA2 Gold Occ,,,False,['2'],['Defense of the Ancients 2']
27761,Masters Tournament Season 3,Masters Tournament S,,,False,['2'],['Defense of the Ancients 2']
27762,SECTOR: MOSTBET DOTA 2,SECTOR: MOSTBET DOTA,,,False,['2'],['Defense of the Ancients 2']
27763,ESL India Premiership 2019 Winter Masters League,ESL India Premiershi,,,False,['2'],['Defense of the Ancients 2']
27764,Rivalry Winter Blast,Rivalry Winter Blast,,,False,['2'],['Defense of the Ancients 2']
27765,World Electronic Sports Games 2019-2020,World Electronic Spo,,,False,['2'],['Defense of the Ancients 2']
27766,ONE Esports Dota 2 World Pro Invitational Singapore,ONE Esports Dota 2 W,,,False,['2'],['Defense of the Ancients 2']
27767,Parimatch League Season 1,Parimatch League Sea,,,False,['2'],['Defense of the Ancients 2']
27768,Brasileirão Season 1 Relegation,Brasileirão Season ,,,False,['1'],['Counter Strike: Global Offensive']
27769,Aorus League Dota 2 Regionals - Christmas Edition,Aorus League Dota 2 ,,,False,['2'],['Defense of the Ancients 2']
27770,WESG 2019 LATAM South,WESG 2019 LATAM Sout,,,False,['1'],['Counter Strike: Global Offensive']
27771,Obao Elite Challenge,Obao Elite Challenge,,,False,['2'],['Defense of the Ancients 2']
27772,LBET Invitational 2,LBET Invitational 2,,,False,['1'],['Counter Strike: Global Offensive']
27773,EGB Siberian Frost,EGB Siberian Frost,,,False,['1'],['Counter Strike: Global Offensive']
27774,VOKA League 2019,VOKA League 2019,,,False,['1'],['Counter Strike: Global Offensive']
27775,Dota 2 Open Alagoas,Dota 2 Open Alagoas,,,False,['2'],['Defense of the Ancients 2']
27776,Showmatch CS:GO,Showmatch CS:GO,,,False,['1'],['Counter Strike: Global Offensive']
27777,GG.Bet Winter Cup,GG.Bet Winter Cup,,,False,['1'],['Counter Strike: Global Offensive']
27778,Maincast Winter Brawl,Maincast Winter Braw,,,False,['2'],['Defense of the Ancients 2']
27779,Cyber Sphere Open Cup,Cyber Sphere Open Cu,,,False,['1'],['Counter Strike: Global Offensive']
27780,dAT Cup,dAT Cup,,,False,['1'],['Counter Strike: Global Offensive']
27781,NSET,NSET,,,False,['1'],['Counter Strike: Global Offensive']
27782,HardCup 5,HardCup 5,,,False,['1'],['Counter Strike: Global Offensive']
27783,Red Star Cup Season 2,Red Star Cup Season ,,,False,['2'],['Defense of the Ancients 2']
27784,Asia Challenger League Season 5,Asia Challenger Leag,,,False,['2'],['Defense of the Ancients 2']
27785,Elite Cup Season 3,Elite Cup Season 3,,,False,['2'],['Defense of the Ancients 2']
27786,Yabo Elite Challenge (S2),Yabo Elite Challenge,,,False,['2'],['Defense of the Ancients 2']
27787,Mythic Cup 5,Mythic Cup 5,,,False,['1'],['Counter Strike: Global Offensive']
27788,WePlay! Bukovel Minor 2020,WePlay! Bukovel Mino,,,False,['2'],['Defense of the Ancients 2']
27789,IEM Katowice 2020 North America Closed Qualifier,IEM Katowice 2020 No,,,False,['1'],['Counter Strike: Global Offensive']
27790,IEM Katowice 2020 Asia Closed Qualifier,IEM Katowice 2020 As,,,False,['1'],['Counter Strike: Global Offensive']
27791,IEM Katowice 2020 Europe Open Qualifier 2,IEM Katowice 2020 Eu,,,False,['1'],['Counter Strike: Global Offensive']
27792,NVIDIA Geforce Cup Pacific 2019,NVIDIA Geforce Cup P,,,False,['1'],['Counter Strike: Global Offensive']
27793,Aorus League 2019 #4 Northern Cone,Aorus League 2019 #4,,,False,['1'],['Counter Strike: Global Offensive']
27794,IEM Katowice 2020 Europe Closed Qualifier,IEM Katowice 2020 Eu,,,False,['1'],['Counter Strike: Global Offensive']
27795,WINNERS League Season 3 Europe,WINNERS League Seaso,,,False,['1'],['Counter Strike: Global Offensive']
27796,Hot Price League,Hot Price League,,,False,['2'],['Defense of the Ancients 2']
27798,DreamHack Open Leipzig 2020 Europe Open Qualifier,DreamHack Open Leipz,,,False,['1'],['Counter Strike: Global Offensive']
27799,OMG BET Cup 2,OMG BET Cup 2,,,False,['2'],['Defense of the Ancients 2']
27800,WINNERS League Season 3 North America,WINNERS League Seaso,,,False,['1'],['Counter Strike: Global Offensive']
27801,DreamHack Open Leipzig 2020 North America Open Qualifier,DreamHack Open Leipz,,,False,['1'],['Counter Strike: Global Offensive']
27802,WESG 2019 Brazil Open Qualifier,WESG 2019 Brazil Ope,,,False,['1'],['Counter Strike: Global Offensive']
27803,DreamHack Open Leipzig 2020 Europe Closed Qualifier,DreamHack Open Leipz,,,False,['1'],['Counter Strike: Global Offensive']
27804,WESG 2019 Brazil,WESG 2019 Brazil,,,False,['1'],['Counter Strike: Global Offensive']
27805,DreamHack Open Leipzig 2020 North America Closed Qualifier,DreamHack Open Leipz,,,False,['1'],['Counter Strike: Global Offensive']
27806,ESEA MDL Season 33 Australia,ESEA MDL Season 33 A,,,False,['1'],['Counter Strike: Global Offensive']
27807,FACEIT Pro League,FPL,,,False,['1'],['Counter Strike: Global Offensive']
27808,Great Universe Cup,Great Universe Cup,,,False,['1'],['Counter Strike: Global Offensive']
27809,LEGENDS.bet L33T Cup,LEGENDS.bet L33T Cup,,,False,['1'],['Counter Strike: Global Offensive']
27810,IEM Katowice 2020 Oceania Closed Qualifier,IEM Katowice 2020 Oc,,,False,['1'],['Counter Strike: Global Offensive']
27811,Masters Tournament Season 4,Masters Tournament S,,,False,['2'],['Defense of the Ancients 2']
27812,Hainan Master Spring Invitation,Hainan Master Spring,,,False,['2'],['Defense of the Ancients 2']
27813,Asian DOTA2 Gold Occupation Competition S10,Asian DOTA2 Gold Occ,,,False,['2'],['Defense of the Ancients 2']
27814,Hainan Master Invitational (Spring),Hainan Master Invita,,,False,['2'],['Defense of the Ancients 2']
27815,WX Invitation,WX Invitation,,,False,['1'],['Counter Strike: Global Offensive']
27816,SIGUL Club League,SIGUL Club League,,,False,['2'],['Defense of the Ancients 2']
27817,WX Invitational Winter 2020 - Thailand Qualifier,WX Invitational Wint,,,False,['1'],['Counter Strike: Global Offensive']
27818,JBO Vietnam Master League Season 1,JBO Vietnam Master L,,,False,['2'],['Defense of the Ancients 2']
27819,DreamLeague Season 13: The Leipzig Major,DreamLeague Season 1,,,False,['2'],['Defense of the Ancients 2']
27820,WX Invitational Winter 2020,WX Invitational Wint,,,False,['1'],['Counter Strike: Global Offensive']
27821,Dota Pro Invitational,Dota Pro Invitationa,,,False,['2'],['Defense of the Ancients 2']
27822,Show Match,SM,,,False,['1'],['Counter Strike: Global Offensive']
27823,DreamHack Open Anaheim 2020 Europe Open Qualifier,DreamHack Open Anahe,,,False,['1'],['Counter Strike: Global Offensive']
27824,CMD368 Championship,CMD368 Championship,,,False,['1'],['Counter Strike: Global Offensive']
27825,DreamHack Open Anaheim 2020 Europe Closed Qualifier,DreamHack Open Anahe,,,False,['1'],['Counter Strike: Global Offensive']
27826,DreamHack Open Anaheim 2020 North America Open Qualifier,DreamHack Open Anahe,,,False,['1'],['Counter Strike: Global Offensive']
27827,WESG 2019 Mexico,WESG 2019 Mexico,,,False,['1'],['Counter Strike: Global Offensive']
27828,DreamHack Open Anaheim 2020 North America Closed Qualifier,DreamHack Open Anahe,,,False,['1'],['Counter Strike: Global Offensive']
27829,WESG 2019 LATAM North,WESG 2019 LATAM Nort,,,False,['1'],['Counter Strike: Global Offensive']
27830,Cyber Tiger Big,Cyber Tiger Big,,,False,['1'],['Counter Strike: Global Offensive']
27831,DreamHack Open Leipzig 2020,DreamHack Open Leipz,,,False,['1'],['Counter Strike: Global Offensive']
27833,Movistar LPG Promocional Season 3,Movistar LPG Promoci,,,False,['2'],['Defense of the Ancients 2']
27835,Millenium Clutch Series 2020,Millenium Clutch Ser,,,False,['1'],['Counter Strike: Global Offensive']
27837,Coolshop GGW Open 2020,Coolshop GGW Open 20,,,False,['1'],['Counter Strike: Global Offensive']
27838,Para Bellum 2020 Dota2 Tournament,Para Bellum 2020 Dot,,,False,['2'],['Defense of the Ancients 2']
27839,META '20 Winter,META '20 Winter,,,False,['1'],['Counter Strike: Global Offensive']
27841,BLAST Premier Spring Series 2020,BLAST Premier Spring,,,False,['1'],['Counter Strike: Global Offensive']
27842,WESG 2019 Oceania,WESG 2019 Oceania,,,False,['1'],['Counter Strike: Global Offensive']
27844,ICE Challenge 2020,ICE Challenge 2020,,,False,['1'],['Counter Strike: Global Offensive']
27845,Parimatch League Season 2,Parimatch League S2,,,False,['2'],['Defense of the Ancients 2']
27846,AEF Premier League Season 3: Premier Division,AEF Premier League S,,,False,['2'],['Defense of the Ancients 2']
27847,Europe Minor Open Qualifier 1 - ESL One Rio 2020,Europe Minor Open Qu,,,False,['1'],['Counter Strike: Global Offensive']
27848,Thailand Celestial Cup,Thailand Celestial C,,,False,['2'],['Defense of the Ancients 2']
27849,Americas Minor North America Open Qualifier 1 - ESL One Rio 2020,Americas Minor North,,,False,['1'],['Counter Strike: Global Offensive']
27850,Asia Minor Greater China Open Qualifier 1 - ESL One Rio 2020,Asia Minor Greater C,,,False,['1'],['Counter Strike: Global Offensive']
27851,Asia Minor SEA Open Qualifier 1 - ESL One Rio 2020,Asia Minor SEA Open ,,,False,['1'],['Counter Strike: Global Offensive']
27852,Supreme Masters European Invitational 2020,Supreme Masters Euro,,,False,['1'],['Counter Strike: Global Offensive']
27854,ESEA MDL Season 33 North America,ESEA MDL Season 33 N,,,False,['1'],['Counter Strike: Global Offensive']
27855,Asia Challenger League Season 6,Asia Challenger Leag,,,False,['2'],['Defense of the Ancients 2']
27856,Asia Minor SEA Open Qualifier 2 - ESL One Rio 2020,Asia Minor SEA Open ,,,False,['1'],['Counter Strike: Global Offensive']
27857,ESEA MDL Season 33 Europe,ESEA MDL Season 33 E,,,False,['1'],['Counter Strike: Global Offensive']
27858,CIS Minor Open Qualifier 1 - ESL One Rio 2020,CIS Minor Open Quali,,,False,['1'],['Counter Strike: Global Offensive']
27859,Americas Minor South America Open Qualifier 1 - ESL One Rio 2020,Americas Minor South,,,False,['1'],['Counter Strike: Global Offensive']
27860,Brazilian Dota 2 Championships Season 2,Brazilian Dota 2 Cha,,,False,['2'],['Defense of the Ancients 2']
27861,Red Star Cup Season 3,Red Star Cup Season ,,,False,['2'],['Defense of the Ancients 2']
27998,Europe Minor Open Qualifier 2 - ESL One Rio 2020,Europe Minor Open Qu,,,False,['1'],['Counter Strike: Global Offensive']
27999,Americas Minor North America Open Qualifier 2 - ESL One Rio 2020,Americas Minor North,,,False,['1'],['Counter Strike: Global Offensive']
28000,Vietnam Pro League Season 3,Vietnam Pro League S,,,False,['1'],['Counter Strike: Global Offensive']
28002,WESG 2019 Russia Closed Qualifier,WESG 2019 Russia Clo,,,False,['1'],['Counter Strike: Global Offensive']
28003,CIS Minor Open Qualifier 2 - ESL One Rio 2020,CIS Minor Open Quali,,,False,['1'],['Counter Strike: Global Offensive']
28006,FlashPoint Open Qualifiers,FlashPoint OQ,,,False,['1'],['Counter Strike: Global Offensive']
28007,CLUTCH Season 2,CLUTCH Season 2,,,False,['1'],['Counter Strike: Global Offensive']
28008,Asia Minor Oceania Open Qualifier 1 - ESL One Rio 2020,Asia Minor Oceania O,,,False,['1'],['Counter Strike: Global Offensive']
28009,ESL One Los Angeles 2020,ESL One Los Angeles ,,,False,['2'],['Defense of the Ancients 2']
28010,Europe Minor Open Qualifier 3 - ESL One Rio 2020,Europe Minor Open Qu,,,False,['1'],['Counter Strike: Global Offensive']
28011,Americas Minor North America Open Qualifier 3 - ESL One Rio 2020,Americas Minor North,,,False,['1'],['Counter Strike: Global Offensive']
28012,Asia Minor Oceania Open Qualifier 2 - ESL One Rio 2020,Asia Minor Oceania O,,,False,['1'],['Counter Strike: Global Offensive']
28013,CIS Minor Open Qualifier 3 - ESL One Rio 2020,CIS Minor Open Quali,,,False,['1'],['Counter Strike: Global Offensive']
28015,BESL Pro Season 5 Finals,BESL Pro Season 5 Fi,,,False,['1'],['Counter Strike: Global Offensive']
28016,SL ImbaTV Dota 2 Minor Season 3,SLTV Minor s3,,,False,['2'],['Defense of the Ancients 2']
28018,Europe Minor Open Qualifier 4 - ESL One Rio 2020,Europe Minor Open Qu,,,False,['1'],['Counter Strike: Global Offensive']
28019,StarLadder ImbaTV Dota 2 Minor Season 3,StarLadder ImbaTV Do,,,False,['2'],['Defense of the Ancients 2']
28020,Americas Minor North America Open Qualifier 4 - ESL One Rio 2020,Americas Minor North,,,False,['1'],['Counter Strike: Global Offensive']
28021,FLASHPOINT North America Closed Qualifier,FLASHPOINT North Ame,,,False,['1'],['Counter Strike: Global Offensive']
28022,FLASHPOINT South America Closed Qualifier,FLASHPOINT South Ame,,,False,['1'],['Counter Strike: Global Offensive']
28023,FLASHPOINT Europe Closed Qualifier,FLASHPOINT Europe Cl,,,False,['1'],['Counter Strike: Global Offensive']
28024,CIS Minor Open Qualifier 4 - ESL One Rio 2020,CIS Minor Open Quali,,,False,['1'],['Counter Strike: Global Offensive']
28025,Americas Minor South America Open Qualifier 2 - ESL One Rio 2020,Americas Minor South,,,False,['1'],['Counter Strike: Global Offensive']
28026,Asia Minor East Asia Open Qualifier 1 - ESL One Rio 2020,Asia Minor East Asia,,,False,['1'],['Counter Strike: Global Offensive']
28027,Asia Minor Middle East Open Qualifier 1 - ESL One Rio 2020,Asia Minor Middle Ea,,,False,['1'],['Counter Strike: Global Offensive']
28028,Liga DELL #2 - FEB/20,Liga DELL #2 - FEB/2,,,False,['1'],['Counter Strike: Global Offensive']
28029,Underdogs League Season 2 Division A,Underdogs League Sea,,,False,['2'],['Defense of the Ancients 2']
28030,Asia Minor East Asia Open Qualifier 2 - ESL One Rio 2020,Asia Minor East Asia,,,False,['1'],['Counter Strike: Global Offensive']
28031,Asia Minor Greater China Open Qualifier 2 - ESL One Rio 2020,Asia Minor Greater C,,,False,['1'],['Counter Strike: Global Offensive']
28033,Asia Minor Middle East Open Qualifier 2 - ESL One Rio 2020,Asia Minor Middle Ea,,,False,['1'],['Counter Strike: Global Offensive']
28034,OGA Counter PIT Season 7,OGA Counter PIT Seas,,,False,['1'],['Counter Strike: Global Offensive']
28035,Blue Flame Cup,Blue Flame Cup,,,False,['2'],['Defense of the Ancients 2']
28036,CBDota - Brazilian Dota 2 Championships Season 2,CBDota - Brazilian D,,,False,['2'],['Defense of the Ancients 2']
28037,Epic Challenger League Season 1 2020 Group Stage,Epic Challenger Leag,,,False,['2'],['Defense of the Ancients 2']
28038,ASUS ROG Winter 2020,ASUS ROG Winter 2020,,,False,['1'],['Counter Strike: Global Offensive']
28039,POWER Ligaen Season 13,POWER Ligaen Season ,,,False,['1'],['Counter Strike: Global Offensive']
28040,StarLadder ImbaTV Dota 2 2020,StarLadder ImbaTV Do,,,False,['2'],['Defense of the Ancients 2']
28041,DreamHack Open Anaheim 2020,DreamHack Open Anahe,,,False,['1'],['Counter Strike: Global Offensive']
28042,WePlay! Dota2 Tug of War: Mad Moon,WePlay! Dota2 Tug of,,,False,['2'],['Defense of the Ancients 2']
28043,CBDota - Brazilian Dota 2 Championships 2020,CBDota - Brazilian D,,,False,['2'],['Defense of the Ancients 2']
